,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
148,RND,real_estate_agent,https://www.cian.ru/sale/flat/299328640/,Москва,sale,flat,15,23,3,86.0,-1,0,50000000,Раменки,Мосфильмовская ,88к4,Раменки,
149,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258695/,Москва,sale,flat,8,8,3,106.3,-1,0,68000000,Арбат, Арбат,51С1,Смоленская,
150,RND,real_estate_agent,https://www.cian.ru/sale/flat/299150342/,Москва,sale,flat,14,21,3,86.0,-1,0,50000000,Раменки,Мосфильмовская ,88к4,Раменки,
151,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/301767191/,Москва,sale,flat,4,7,3,117.9,-1,0,80000000,Мещанский,Протопоповский переулок,17С5,Проспект Мира,
152,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301407892/,Москва,sale,flat,4,5,3,72.1,-1,0,19000000,Кунцево,Ярцевская ,6,Молодёжная,
153,Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/294265604/,Москва,sale,flat,10,14,3,70.2,-1,0,50000000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
154,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299202379/,Москва,sale,flat,11,58,3,81.0,-1,0,48500000,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers
155,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301010865/,Москва,sale,flat,2,16,3,54.0,-1,0,12690000,Можайский,Беловежская ,17,Сетунь,
156,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/272037601/,Москва,sale,flat,14,20,3,94.0,-1,0,53000000,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO
157,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539718/,Москва,sale,flat,2,5,3,88.0,-1,0,67490000,Замоскворечье, Малая Ордынка,5/6С2-3,Третьяковская,
158,Елена Иванова,realtor,https://www.cian.ru/sale/flat/300797525/,Москва,sale,flat,36,44,3,68.6,-1,0,36900000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
159,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299880493/,Москва,sale,flat,3,28,3,68.0,-1,0,66500000,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
160,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298476765/,Москва,sale,flat,7,79,3,90.6,-1,0,85000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
161,MERSI,real_estate_agent,https://www.cian.ru/sale/flat/292752282/,Москва,sale,flat,6,10,3,60.5,-1,0,23700000,Якиманка,Ленинский проспект,3,Октябрьская,
162,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/289915708/,Москва,sale,flat,2,7,3,151.0,-1,0,300000000,Хамовники, Плющиха,37,Киевская,Клубный дом Bunin
163,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301553196/,Москва,sale,flat,8,26,3,98.2,-1,0,51950000,Аэропорт,Ленинградский проспект,36с40,Динамо,ВТБ Арена парк
